title,genre,budget,runtime,year,month,revenue
Kate & Leopold,Comedy,0,118.0,2001,12,0
Midnight in Paris,Fantasy,30000000,94.0,2011,5,151119219
Concussion,Drama,35000000,123.0,2015,11,50363790
Laws of Attraction,Action,28000000,90.0,2004,4,30016165
Midnight in the Garden of Good and Evil,Crime,35000000,155.0,1997,11,25105255
A Sound of Thunder,Thriller,80000000,110.0,2005,5,5989640
Kangaroo Jack,Comedy,0,89.0,2003,1,0
Grace of Monaco,Romance,30000000,103.0,2014,5,0
Hitch,Comedy,70000000,118.0,2005,2,368100420
Never Say Never Again,Adventure,36000000,134.0,1983,10,160000000
Sanctum,Action,30000000,108.0,2011,2,108609310
World Trade Center,Drama,63000000,128.0,2006,8,162945894
Riding in Cars with Boys,Comedy,48000000,132.0,2001,10,35743308
The Wolf of Wall Street,Crime,100000000,180.0,2013,12,392000694
The Next Best Thing,Comedy,25000000,108.0,2000,3,24362772
The Internship,Comedy,58000000,119.0,2013,6,44000000
Fight Club,Drama,63000000,139.0,1999,10,100853753
The Big Bounce,Comedy,50000000,88.0,2004,1,6808550
Intolerable Cruelty,Crime,60000000,100.0,2003,9,119940815
The Good Dinosaur,Adventure,175000000,93.0,2015,11,331926147
Without a Paddle,Action,19000000,95.0,2004,8,69631118
Fright Night,Horror,17000000,106.0,2011,8,24922237
RED 2,Action,84000000,116.0,2013,7,0
Behind Enemy Lines,Action,40000000,106.0,2001,11,91753202
The Five-Year Engagement,Comedy,30000000,124.0,2012,4,53909751
Divine Secrets of the Ya-Ya Sisterhood,Comedy,27000000,116.0,2002,6,0
Signs,Drama,72000000,106.0,2002,8,408247917
The Spirit,Action,60000000,103.0,2008,12,39031337
Troy,Adventure,175000000,163.0,2004,5,497409852
Kingdom of Heaven,Drama,130000000,144.0,2005,5,211643158
Back to the Future Part III,Adventure,40000000,118.0,1990,5,244527583
The Possession,Horror,14000000,92.0,2012,8,85446075
American Hustle,Drama,40000000,138.0,2013,12,251171807
Atonement,Drama,30000000,123.0,2007,8,129266061
The Happening,Thriller,60000000,91.0,2008,6,163403799
The Ant Bully,Fantasy,50000000,88.0,2006,7,55181129
Warm Bodies,Horror,35000000,97.0,2013,1,116980662
Big Fish,Adventure,70000000,125.0,2003,12,122919055
Hot Rod,Action,0,88.0,2007,8,14334401
Kick-Ass 2,Action,28000000,103.0,2013,7,60700000
Spirit: Stallion of the Cimarron,,80000000,83.0,2002,5,122563539
Fair Game,Drama,22000000,108.0,2010,5,24188922
Enough,Drama,38000000,114.0,2002,5,51801187
Knocked Up,Comedy,30000000,129.0,2007,6,219076518
The Longest Yard,Comedy,82000000,113.0,2005,5,190320568
Lucky Number Slevin,Drama,27000000,110.0,2006,2,56308881
Space Jam,Animation,80000000,88.0,1996,11,250200000
Inside Out,Drama,175000000,94.0,2015,6,857611174
Absolute Power,Crime,50000000,121.0,1997,2,50068310
Wreck-It Ralph,,165000000,108.0,2012,11,471222889
Dreamgirls,Drama,70000000,134.0,2006,12,154937680
The Social Network,Drama,40000000,120.0,2010,9,224920315
Inchon,Drama,46000000,140.0,1981,5,5200000
Vantage Point,Drama,40000000,90.0,2008,2,151161491
Conan the Barbarian,Adventure,20000000,129.0,1982,4,79114085
Corpse Bride,Romance,40000000,77.0,2005,9,117195061
Green Lantern,Adventure,200000000,114.0,2011,6,219851172
He Got Game,Drama,25000000,136.0,1998,5,21567853
Case 39,Horror,27000000,109.0,2009,8,29000000
Home on the Range,Animation,110000000,76.0,2004,4,103951461
The Greatest Game Ever Played,Drama,25000000,120.0,2005,9,15431177
Glory Road,Drama,0,118.0,2006,1,42647449
Stealing Harvard,Action,0,85.0,2002,9,0
Tin Cup,Comedy,45000000,135.0,1996,8,53854588
Beyond the Sea,Drama,23000000,118.0,2004,12,0
There Will Be Blood,Drama,25000000,158.0,2007,12,77208711
Training Day,Action,45000000,122.0,2001,10,104876233
Hide and Seek,Horror,25000000,101.0,2005,1,122644820
The Matrix Reloaded,Adventure,150000000,138.0,2003,5,738599701
Public Enemies,,80000000,140.0,2009,7,214104620
Impostor,Action,40000000,102.0,2001,12,0
Space Cowboys,Action,65000000,130.0,2000,7,128884132
Watchmen,Action,130000000,163.0,2009,3,185258983
The Whole Nine Yards,Comedy,41300000,98.0,2000,2,106371651
Anchorman 2: The Legend Continues,Comedy,50000000,119.0,2013,12,173649015
Gulliver's Travels,Comedy,112000000,85.0,2010,12,237382724
The Departed,Drama,90000000,151.0,2006,10,289847354
3:10 to Yuma,,55000000,122.0,2007,9,70016220
The Lucky One,Drama,25000000,101.0,2012,4,99357138
Nacho Libre,Comedy,32000000,92.0,2006,6,80197993
The Skeleton Key,Drama,43000000,104.0,2005,7,91974818
TRON: Legacy,Adventure,170000000,125.0,2010,12,400062763
Antitrust,Action,30000000,108.0,2001,1,18195610
My Soul to Take,Drama,25000000,107.0,2010,10,19829957
FearDotCom,Horror,40000000,101.0,2002,8,18902015
Safe Haven,Romance,28000000,115.0,2013,2,97594140
Captain America: The Winter Soldier,Action,170000000,136.0,2014,3,714766572
The Golden Compass,adventure,180000000,113.0,2007,12,372234864
Transcendence,Thriller,100000000,119.0,2014,4,103039258
The Rainmaker,Drama,40000000,135.0,1997,11,45916769
Nothing to Lose,Action,25000000,97.0,1997,7,0
The Deep End of the Ocean,Drama,38000000,106.0,1999,3,28121100
Driven,Action,94000000,116.0,2001,4,54744738
Julie & Julia,Romance,40000000,123.0,2009,8,129540499
Die Hard 2,Action,70000000,124.0,1990,7,240031094
Wicker Park,Drama,30000000,114.0,2004,9,13001257
The Guilt Trip,Comedy,40000000,95.0,2012,12,41863726
The Dilemma,Comedy,70000000,111.0,2011,1,67112664
Turbo,Animation,135000000,96.0,2013,7,282570682
George of the Jungle,Adventure,55000000,92.0,1997,7,0
Mystic River,Thriller,25000000,138.0,2003,10,156822020
Gamer,Action,50000000,95.0,2009,9,40828540
A Man Apart,Action,36000000,109.0,2003,4,44350926
How the Grinch Stole Christmas,,123000000,104.0,2000,11,345141403
The Lost World: Jurassic Park,Adventure,73000000,129.0,1997,5,229074524
Open Season,Adventure,85000000,83.0,2006,9,197309027
All the King's Men,Drama,55000000,125.0,2006,9,9450897
Spice World,Adventure,25000000,93.0,1997,12,100000000
Big Trouble in Little China,Action,25000000,99.0,1986,5,11000000
Swordfish,Action,102000000,99.0,2001,6,147080413
Patriot Games,Drama,45000000,117.0,1992,6,178051587
Robots,Animation,75000000,91.0,2005,3,260696994
Click,Comedy,82500000,107.0,2006,6,237681299
Fantastic Mr. Fox,Adventure,40000000,87.0,2009,10,46471023
What Dreams May Come,Drama,85000000,113.0,1998,10,71485043
The Holiday,Comedy,85000000,136.0,2006,12,194168700
Miracle at St. Anna,Drama,45000000,160.0,2008,9,9323833
For Love of the Game,Drama,50000000,137.0,1999,9,0
Finding Neverland,Drama,25000000,106.0,2004,10,116766556
Ri¢hie Ri¢h,Comedy,40000000,95.0,1994,12,0
Assault on Precinct 13,Thriller,30000000,109.0,2005,1,35294470
Wild Wild West,Action,170000000,106.0,1999,6,222104681
The Golden Compass,adventure,180000000,113.0,2007,12,372234864
Rambo III,Action,63000000,102.0,1988,5,189015611
Toy Story,Animation,30000000,81.0,1995,10,373554033
Unfinished Business,Comedy,35000000,91.0,2015,3,14431253
The Kid,Fantasy,65000000,104.0,2000,7,69700000
The Spy Next Door,Action,28000000,94.0,2010,1,45236543
Frozen,Animation,150000000,102.0,2013,11,1274219009
The Truman Show,Comedy,60000000,103.0,1998,6,264118201
The Statement,Drama,0,120.0,2003,12,0
Blade II,Fantasy,54000000,117.0,2002,3,155010032
Rain Man,Drama,25000000,133.0,1988,12,412800000
Grown Ups 2,Comedy,80000000,100.0,2013,7,246984278
Stop-Loss,Drama,25000000,113.0,2008,3,11207130
The Hunger Games: Mockingjay - Part 2,Action,160000000,137.0,2015,11,653428261
Return of the Jedi,Adventure,32350000,135.0,1983,5,572700000
Cast Away,Adventure,90000000,143.0,2000,12,429632142
Crimson Tide,Action,53000000,116.0,1995,5,157387195
Abandon,Drama,25000000,99.0,2002,10,10719357
Gran Torino,Drama,33000000,116.0,2008,12,269958228
Braveheart,Action,72000000,177.0,1995,5,210000000
Blue Crush,Adventure,25000000,104.0,2002,8,51842679
The New World,Drama,30000000,135.0,2005,12,30536013
The Devil's Advocate,Drama,57000000,144.0,1997,10,152944660
From Hell,Horror,35000000,122.0,2001,10,74558115
Apocalypto,Action,40000000,139.0,2006,12,120175290
Harry Potter and the Order of the Phoenix,Adventure,150000000,138.0,2007,6,938212738
Indiana Jones and the Last Crusade,Adventure,48000000,127.0,1989,5,474171806
The Terminal,Comedy,60000000,128.0,2004,6,219417255
No Reservations,Comedy,28000000,104.0,2007,7,92601050
Scary Movie 4,Comedy,45000000,83.0,2006,4,178262620
Shakespeare in Love,Romance,25000000,122.0,1998,12,289317794
The Lovely Bones,Fantasy,65000000,136.0,2009,12,93525586
Johnny English Reborn,Crime,45000000,101.0,2011,9,160078586
Ghosts of Mississippi,,0,130.0,1996,12,0
The Haunting,Horror,80000000,113.0,1999,7,91188905
Star Wars: Episode I - The Phantom Menace,Adventure,115000000,136.0,1999,5,924317558
Christmas with the Kranks,Comedy,60000000,99.0,2004,11,0
Austin Powers in Goldmember,Comedy,63000000,94.0,2002,7,296655431
Tangled,Animation,260000000,100.0,2010,11,591794936
The Chronicles of Narnia: Prince Caspian,adventure,225000000,150.0,2008,5,419651413
What a Girl Wants,Comedy,0,105.0,2003,3,0
The Counselor,Thriller,25000000,117.0,2013,10,71009334
The Secret Life of Pets,Animation,75000000,87.0,2016,6,875958308
The Hobbit: The Desolation of Smaug,adventure,250000000,161.0,2013,12,958400000
The Hours,Drama,25000000,114.0,2002,12,41597830
Zombieland,Comedy,23600000,88.0,2009,10,102391382
21,Drama,35000000,123.0,2008,3,69823199
Chicken Little,Animation,150000000,81.0,2005,11,314432665
The 51st State,Thriller,28,93.0,2001,12,14
Ladder 49,Drama,60000000,115.0,2004,10,74541707
What Just Happened,Comedy,25000000,104.0,2008,10,6673422
Nomad: The Warrior,Action,25000000,112.0,2005,7,0
3000 Miles to Graceland,Action,62000000,125.0,2001,2,18720175
Déjà Vu,Romance,0,117.0,1998,4,0
Snow Dogs,Adventure,33000000,99.0,2002,1,0
The Insider,Drama,90000000,157.0,1999,10,60289912
Guess Who,Comedy,35000000,105.0,2005,3,68915888
The Ghost and the Darkness,Adventure,50000000,109.0,1996,10,75000000
The Hitchhiker's Guide to the Galaxy,Adventure,50000000,109.0,2005,1,104478416
Takers,Action,32000000,107.0,2010,8,69055695
Spawn,Action,40000000,96.0,1997,7,87840042
Harry Potter and the Philosopher's Stone,Adventure,125000000,152.0,2001,11,976475550
The Jacket,Drama,29000000,103.0,2005,3,21126225
Identity Thief,Comedy,35000000,111.0,2013,2,173965010
Starship Troopers,Adventure,105000000,129.0,1997,11,121214377
The Smurfs 2,Fantasy,105000000,105.0,2013,7,347434178
Angela's Ashes,Drama,25,145.0,1999,12,13
Harry Potter and the Prisoner of Azkaban,Adventure,130000000,141.0,2004,5,789804554
Notting Hill,Romance,42000000,124.0,1999,5,363889678
Escape from Planet Earth,Animation,40000000,89.0,2013,2,74597643
Joy Ride,,23000000,97.0,2001,10,36642838
Out of Time,Thriller,50000000,105.0,2003,10,55495563
Little Nicholas,Comedy,0,91.0,2009,9,0
The Incredible Burt Wonderstone,Comedy,30000000,100.0,2013,3,27437881
The Bone Collector,Drama,73000000,118.0,1999,11,151493655
Side Effects,Thriller,30000000,106.0,2013,2,63372757
Casper,Fantasy,50000000,100.0,1995,5,287928194
Gods and Generals,Drama,56000000,214.0,2003,2,12923936
The Boss,Comedy,29000000,91.0,2016,4,78636257
Stuart Little,Animation,133000000,84.0,1999,12,300135367
The Legend of Hercules,Action,70000000,99.0,2014,1,61279452
Good Luck Chuck,Comedy,25000000,101.0,2007,9,59192128
Old School,Comedy,24000000,91.0,2003,2,87055349
TMNT,Adventure,34000000,90.0,2007,3,95608995
Money Talks,Action,0,97.0,1997,8,0
The Love Guru,Comedy,62000000,87.0,2008,6,41819064
X-Men: The Last Stand,Adventure,210000000,104.0,2006,5,459359555
I Am Number Four,Action,50000000,109.0,2011,2,144492830
Annie,Comedy,65000000,119.0,2014,12,133821816
Indiana Jones and the Kingdom of the Crystal Skull,Adventure,185000000,122.0,2008,5,786636033
Mirror Mirror,Adventure,85000000,106.0,2012,3,183018522
Untraceable,Drama,35000000,101.0,2008,1,32483410
The Blues Brothers,,27000000,133.0,1980,6,115229890
Quest for Camelot,Fantasy,40000000,86.0,1998,5,38172500
Inception,Action,160000000,148.0,2010,7,825532764
"O Brother, Where Art Thou?",Action,26000000,106.0,2000,8,71868327
Hot Pursuit,Action,35000000,87.0,2015,5,51680201
47 Ronin,Drama,175000000,119.0,2013,12,150962475
The Conspirator,Crime,25000000,122.0,2010,9,15478800
A Knight's Tale,Adventure,65000000,132.0,2001,5,117487473
The Man from U.N.C.L.E.,Comedy,75000000,116.0,2015,8,108145109
The Pelican Brief,Drama,45000000,141.0,1993,12,195268056
Glory,,18000000,122.0,1989,12,26828365
Mr. Bean's Holiday,,25000000,90.0,2007,3,229736344
The Expendables 3,Action,90000000,127.0,2014,8,206172544
Batman Forever,Action,100000000,121.0,1995,5,336529144
Rugrats Go Wild,Animation,0,84.0,2003,6,0
A Bridge Too Far,Drama,22000000,175.0,1977,6,50750000
Congo,Action,50000000,109.0,1995,6,152022101
Over the Hedge,Comedy,80000000,83.0,2006,4,343397247
The Bourne Legacy,Action,130000000,120.0,2012,8,276572938
Dreamer: Inspired By a True Story,Drama,0,106.0,2005,9,0
The Host,Action,44000000,125.0,2013,3,63327201
Eddie the Eagle,Comedy,23000000,106.0,2016,2,46152800
Garfield: A Tail of Two Kitties,Animation,0,78.0,2006,6,141702264
Scooby-Doo,,84000000,88.0,2002,6,275650703
"Crazy, Stupid, Love.",Comedy,50000000,118.0,2011,7,142851197
Just Visiting,Comedy,0,88.0,2001,4,0
P.S. I Love You,Drama,30000000,126.0,2007,11,156835339
The Sisterhood of the Traveling Pants,Drama,25000000,119.0,2005,6,39053061
Puss in Boots,Action,130000000,90.0,2011,10,554987477
The Story of Us,Comedy,50000000,95.0,1999,10,58900031
The Expendables 2,Action,100000000,103.0,2012,8,312573423
Underclassman,Action,0,95.0,2005,9,0
The Angry Birds Movie,,73000000,97.0,2016,5,349779543
Broken City,Thriller,56000000,109.0,2013,1,19701164
Snakes on a Plane,Action,33000000,105.0,2006,8,62022014
Shooter,Action,61000000,124.0,2007,3,95696996
Beverly Hills Cop III,Action,50000000,104.0,1994,5,119208989
First Blood,Action,15000000,93.0,1982,10,125212904
Coach Carter,Drama,30000000,136.0,2005,1,76669806
Timecop,Thriller,27000000,99.0,1994,9,101646581
Machine Gun Preacher,Action,30000000,129.0,2011,9,2527904
Tora! Tora! Tora!,,25485000,144.0,1970,1,29548291
Love in the Time of Cholera,Drama,45000000,139.0,2007,10,4607608
G-Force,Fantasy,150000000,88.0,2009,7,292817841
"Mystery, Alaska",Drama,28000000,119.0,1999,10,8888143
Reign of Fire,Adventure,60000000,101.0,2002,7,43061982
Ender's Game,Science Fiction,110000000,114.0,2013,10,125537191
Renaissance Man,Comedy,40000000,128.0,1994,6,24332324
42,Drama,40000000,128.0,2013,4,95020213
Bangkok Dangerous,Action,45000000,99.0,2008,8,42487390
Seed of Chucky,Drama,12000000,87.0,2004,11,24829644
Air Force One,Action,85000000,124.0,1997,7,315156409
X-Men: Days of Future Past,Action,250000000,131.0,2014,5,747862775
Step Brothers,Comedy,65000000,98.0,2008,7,128107642
The Peanuts Movie,Animation,99000000,88.0,2015,11,246233113
Marmaduke,,50000000,87.0,2010,6,83761844
Zoolander 2,Comedy,50000000,100.0,2016,2,55969000
Did You Hear About the Morgans?,Comedy,58000000,103.0,2009,12,85280250
American Outlaws,Action,35000000,94.0,2001,8,13678913
Straight Outta Compton,Drama,28000000,147.0,2015,8,201634991
For Your Eyes Only,Adventure,28000000,127.0,1981,6,195312802
Splice,Horror,26000000,104.0,2009,10,0
Almost Famous,Drama,60000000,122.0,2000,9,47383689
Righteous Kill,Action,60000000,101.0,2008,9,73174566
Gone in Sixty Seconds,Action,90000000,118.0,2000,6,237202299
The Aviator,Drama,116000000,170.0,2004,12,102000000
Blended,Comedy,40000000,117.0,2014,5,123494610
Apocalypse Now,Drama,31500000,153.0,1979,8,89460381
The Replacement Killers,Action,30000000,87.0,1998,2,19204929
The Lego Movie,Adventure,60000000,100.0,2014,2,469160692
Rat Race,Adventure,48000000,112.0,2001,7,85498534
Flubber,Comedy,80000000,93.0,1997,11,177977226
Brokedown Palace,Drama,25000000,100.0,1999,8,13000000
The Mask of Zorro,Action,95000000,136.0,1998,7,250288523
Premium Rush,Crime,35000000,91.0,2012,8,31083599
Pirates of the Caribbean: Dead Man's Chest,adventure,200000000,151.0,2006,6,1065659812
Play It to the Bone,Comedy,24000000,124.0,1999,12,8434146
The Express,Drama,40000000,130.0,2008,10,9793496
Twilight,Adventure,37000000,122.0,2008,11,392616625
The Scorpion King,Action,60000000,92.0,2002,4,165333180
Alex Cross,Action,45000000,101.0,2012,10,30353232
Walk the Line,Drama,28000000,136.0,2005,9,186438883
Rendition,Drama,27500000,120.0,2007,9,24748670
The Blind Side,Drama,29000000,129.0,2009,11,309208309
Heaven's Gate,Action,44000000,219.0,1980,11,3484331
Whiteout,Action,40000000,101.0,2009,9,12206028
DOA: Dead or Alive,Adventure,21000000,87.0,2006,9,480314
Star Trek Beyond,Action,185000000,122.0,2016,7,343471816
Earth,Drama,0,101.0,1998,9,528972
I Still Know What You Did Last Summer,Horror,65000000,100.0,1998,11,40002112
Gettysburg,,0,254.0,1993,10,25000000
Quantum of Solace,adventure,200000000,106.0,2008,10,586090727
Paul Blart: Mall Cop,Action,26000000,91.0,2009,1,183293131
The Break-Up,Romance,52000000,106.0,2006,6,204999686
The Twilight Saga: New Moon,Adventure,50000000,130.0,2009,3,709827462
Contact,Drama,90000000,150.0,1997,7,171120329
John Carter,Action,260000000,132.0,2012,3,284139100
Raising Helen,Drama,50000000,119.0,2004,5,49718611
Waterloo,,25000000,128.0,1970,10,3052000
Ripley's Game,Crime,30000000,110.0,2002,9,0
Exodus: Gods and Kings,Adventure,140000000,150.0,2014,12,268031828
Mary Reilly,Drama,47000000,104.0,1996,2,12379402
Die Hard,Action,28000000,131.0,1988,7,140767956
Universal Soldier: The Return,Action,45000000,82.0,1999,8,10667893
The Last Airbender,Action,150000000,103.0,2010,6,318502923
Deck the Halls,Comedy,0,93.0,2006,11,47231070
Shadow Conspiracy,Action,45000000,103.0,1997,1,2154540
Edge of Darkness,Crime,80000000,117.0,2010,1,74901339
Four Christmases,Comedy,80000000,88.0,2008,11,163733697
Timeline,Action,80000000,116.0,2003,11,19480739
Enchanted,Comedy,85000000,107.0,2007,11,340487652
Spectre,Action,245000000,148.0,2015,10,880674609
Failure to Launch,Comedy,50000000,97.0,2006,3,88715192
Two Weeks Notice,Romance,60000000,101.0,2002,12,93354918
Source Code,Thriller,32000000,93.0,2011,3,147332697
Dante's Peak,Action,116000000,108.0,1997,2,178127760
13 Hours: The Secret Soldiers of Benghazi,Action,50000000,144.0,2016,1,69411370
Superman Returns,adventure,270000000,154.0,2006,6,391081192
The Rite,Drama,37000000,114.0,2011,1,96047633
Now You See Me 2,Action,90000000,129.0,2016,6,334901337
Monsters vs Aliens,Animation,175000000,94.0,2009,3,381509870
Lolita,Drama,2000000,153.0,1962,6,9250000
Star Trek: First Contact,Science Fiction,46000000,111.0,1996,11,150000000
Captain Corelli's Mandolin,Drama,57000000,131.0,2001,8,62112895
The Duchess,Drama,0,110.0,2008,9,0
Meet the Parents,Comedy,55000000,108.0,2000,10,330444045
Meet Dave,Comedy,60000000,90.0,2008,7,50650079
Money Train,Action,60000000,103.0,1995,11,35431113
Don Juan DeMarco,Romance,25000000,97.0,1994,10,22200000
Pirates of the Caribbean: On Stranger Tides,adventure,380000000,136.0,2011,5,1045713802
Double Take,Adventure,0,88.0,2001,1,0
A Lot Like Love,Comedy,30000000,107.0,2005,4,42886719
The Lord of the Rings: The Fellowship of the Ring,Adventure,93000000,178.0,2001,12,871368364
Faster,Crime,24000000,98.0,2010,11,23081726
Tropic Thunder,Action,92000000,107.0,2008,8,188072649
Bless the Child,Drama,40000000,107.0,2000,8,0
The Life Aquatic with Steve Zissou,Adventure,50000000,119.0,2004,12,34808403
Austin Powers: The Spy Who Shagged Me,Adventure,33000000,95.0,1999,6,310940086
House of Wax,Horror,40000000,113.0,2005,4,68766121
Battleship,Thriller,209000000,131.0,2012,4,303025485
Grown Ups,Comedy,80000000,102.0,2010,6,271430189
Dr. Dolittle 2,Comedy,70000000,87.0,2001,6,176104344
The Brothers Grimm,Adventure,88000000,118.0,2005,8,105316267
Vacation,Comedy,31000000,99.0,2015,7,104384188
Quantum of Solace,adventure,200000000,106.0,2008,10,586090727
Nutty Professor II: The Klumps,Fantasy,84000000,106.0,2000,7,123307945
Wrath of the Titans,Adventure,150000000,99.0,2012,3,301000000
Bad Company,Action,70000000,116.0,2002,6,65977295
Our Brand Is Crisis,Comedy,28000000,108.0,2015,9,7002261
World War Z,Action,200000000,116.0,2013,6,531865000
The Hunted,Drama,55000000,94.0,2003,3,34234008
Rise of the Guardians,Fantasy,145000000,97.0,2012,11,306941670
Ironclad,Romance,25000000,121.0,2011,3,0
Thor,Adventure,150000000,115.0,2011,4,449326618
Ted,Comedy,50000000,106.0,2012,6,549368315
The Rock,Action,75000000,136.0,1996,6,335062621
G.I. Joe: Retaliation,Adventure,130000000,110.0,2013,3,371876278
"I, Frankenstein",Horror,65000000,92.0,2014,1,71154592
Apollo 13,Drama,52000000,140.0,1995,6,355237933
A History of Violence,Drama,32000000,96.0,2005,9,60740827
Charlie and the Chocolate Factory,Adventure,150000000,115.0,2005,7,474968763
Cop Out,Action,30000000,107.0,2010,2,55583804
Half Past Dead,Crime,13000000,98.0,2002,11,0
The Other Guys,Action,100000000,107.0,2010,8,170432927
Real Steel,Action,110000000,127.0,2011,9,299268508
Muppets Most Wanted,Comedy,50000000,112.0,2014,3,80383290
Warcraft,Action,160000000,123.0,2016,5,433677183
Dragon Wars: D-War,Fantasy,70000000,90.0,2007,2,53587404
Mortal Kombat: Annihilation,Action,30000000,95.0,1997,11,51376861
Semi-Pro,Comedy,0,91.0,2008,2,33472850
Die Another Day,Adventure,140000000,133.0,2002,11,431971116
Doctor Dolittle,Comedy,71000000,85.0,1998,6,294456605
Kick-Ass,Action,28000000,117.0,2010,3,96188903
Million Dollar Baby,Drama,30000000,132.0,2004,12,216763646
Garfield,Animation,50000000,80.0,2004,6,200804534
Starsky & Hutch,Comedy,60000000,101.0,2004,3,170268750
Law Abiding Citizen,Drama,53000000,109.0,2009,10,126690726
Biutiful,Drama,0,148.0,2010,10,25147786
The SpongeBob SquarePants Movie,Animation,30000000,87.0,2004,11,140161792
Jupiter Ascending,Science Fiction,176000003,124.0,2015,2,183987723
Moulin Rouge!,Drama,52500000,127.0,2001,3,179213434
Prisoners,Drama,46000000,153.0,2013,9,122126687
The Assassination of Jesse James by the Coward Robert Ford,Action,30000000,160.0,2007,9,14711793
Race to Witch Mountain,Adventure,50000000,98.0,2009,3,106303988
Ready to Rumble,Action,24000000,107.0,2000,4,12372410
Mars Attacks!,Comedy,70000000,106.0,1996,12,101371017
Face/Off,Action,80000000,138.0,1997,6,245676146
Meet the Spartans,Comedy,30000000,84.0,2008,1,84646831
Safe House,Action,85000000,115.0,2012,2,208076205
The Abyss,Adventure,70000000,139.0,1989,8,90000098
The Jungle Book,,175000000,106.0,2016,4,966550600
Ocean's Eleven,Thriller,85000000,116.0,2001,12,450717150
Transporter 2,Action,32000000,87.0,2005,8,85167639
Batman,Fantasy,35000000,126.0,1989,6,411348924
Death Race,Action,45000000,105.0,2008,8,73762516
Stolen,Action,35000000,96.0,2012,5,2106557
K-PAX,Drama,48000000,120.0,2001,10,50315140
Like Mike,Comedy,30000000,99.0,2002,7,0
Alexander,,155000000,175.0,2004,11,167298192
The Relic,Horror,60000000,110.0,1997,1,33956608
Asterix at the Olympic Games,Fantasy,97250400,116.0,2008,1,132900000
Goodbye Bafana,,30000000,140.0,2007,2,0
The Other Boleyn Girl,Drama,35000000,115.0,2008,2,0
The Musketeer,Action,40000000,104.0,2001,9,27053815
White Squall,Action,38000000,129.0,1996,2,10300000
Ghostbusters,Action,144000000,116.0,2016,7,229147509
Argo,Drama,44500000,120.0,2012,10,232324128
Rock Star,,57000000,105.0,2001,9,16991902
Cheaper by the Dozen,Comedy,40000000,98.0,2003,12,190212113
Howard the Duck,Comedy,37000000,110.0,1986,8,37962774
Sky High,Adventure,35000000,100.0,2005,7,86369815
Alvin and the Chipmunks,Comedy,60000000,92.0,2007,12,361366633
Ride Along 2,Action,40000000,102.0,2016,1,124827316
Sin City,Action,40000000,124.0,2005,4,158733820
Lord of War,Crime,42000000,122.0,2005,9,24127895
The Family Man,Comedy,60000000,125.0,2000,12,0
A Passage to India,Drama,8000000,163.0,1984,12,27187653
Highlander: The Final Dimension,Action,26000000,99.0,1994,11,36800000
Hero,Drama,31000000,99.0,2002,12,177394432
The Warrior's Way,Adventure,42000000,100.0,2010,12,11087569
Texas Rangers,Action,0,110.0,2001,11,0
Penguins of Madagascar,,132000000,92.0,2014,11,373552094
Paul Blart: Mall Cop 2,Action,38000000,94.0,2015,4,107597242
The Doors,Drama,38000000,140.0,1991,3,34416893
You've Got Mail,Comedy,65000000,119.0,1998,12,250821495
X-Men Origins: Wolverine,Adventure,150000000,107.0,2009,4,373062864
Escape Plan,Action,50000000,115.0,2013,10,122915111
8 Mile,Drama,41000000,110.0,2002,11,215000000
Pompeii,Action,130000000,105.0,2014,2,117831631
Role Models,Comedy,28000000,99.0,2008,2,92380927
Aliens in the Attic,Adventure,45000000,86.0,2009,7,57881056
Paddington,,55000000,95.0,2014,11,259207227
About a Boy,Drama,27000000,101.0,2002,4,129000000
The Tuxedo,Thriller,0,98.0,2002,9,0
The Hunger Games: Catching Fire,Adventure,130000000,146.0,2013,11,847423452
Lethal Weapon 3,Adventure,35000000,118.0,1992,5,321731527
Changing Lanes,Action,45000000,89.0,2002,4,94935764
At First Sight,Drama,0,128.0,1999,1,0
Final Destination 5,Horror,47000000,92.0,2011,8,157887643
Men in Black II,Action,140000000,88.0,2002,7,441818803
xXx: State of the Union,Action,60000000,101.0,2005,4,71073932
Practical Magic,Drama,75000000,104.0,1998,10,46683377
21 Jump Street,Action,42000000,109.0,2012,3,201585328
Chicken Run,Animation,45000000,84.0,2000,6,224834564
Ishtar,Action,55000000,107.0,1987,5,14375181
Child 44,Crime,50000000,137.0,2015,3,3324330
Pushing Tin,Comedy,33000000,124.0,1999,4,0
National Treasure,Adventure,100000000,131.0,2004,11,347451894
Striptease,Drama,50000000,115.0,1996,6,113309743
Thirteen Days,Drama,80000000,145.0,2000,12,34566746
We Were Soldiers,Action,75000000,138.0,2002,3,114660784
DragonHeart,Fantasy,57000000,103.0,1996,5,115267375
13 Going on 30,Comedy,37000000,98.0,2004,4,96455697
Traffic,Thriller,48000000,147.0,2000,12,207515725
Monsters University,Animation,200000000,104.0,2013,6,743559607
The Imaginarium of Doctor Parnassus,Adventure,30000000,123.0,2009,10,64352607
The Warlords,Action,40000000,126.0,2007,12,0
Mulan,Animation,90000000,88.0,1998,6,304320254
Scary Movie 2,Comedy,45000000,83.0,2001,7,141220678
Frost/Nixon,Drama,0,122.0,2008,10,0
Underworld: Evolution,Fantasy,50000000,106.0,2006,1,111340801
Imagine That,Comedy,55000000,107.0,2009,6,0
The Whole Ten Yards,Comedy,40000000,98.0,2004,4,26155781
